record_id,date,site,process,shift,records_processed,processing_time_min,errors_found,downtime_min,quality_score,sla_threshold_min,sla_met,error_rate_pct,quality_flag
100839,2026-01-03,Hyderabad,Publishing,Night,286,40.81,8,27.8,95.03,30,No,2.797,High Error Rate
105438,2026-01-03,Hyderabad,Quality Review,Evening,240,33.42,4,30.4,91.06,60,Yes,1.667,Normal
100889,2026-01-03,Pune,Data Intake,Night,493,32.25,7,19.7,94.2,35,Yes,1.42,Normal
101121,2026-01-03,Pune,Data Intake,Morning,389,43.59,9,9.4,89.85,35,No,2.314,Low Quality Score
101038,2026-01-03,Pune,Quality Review,Morning,242,27.19,8,32.0,95.76,60,Yes,3.306,High Error Rate
104046,2026-01-03,Pune,Quality Review,Night,482,42.41,7,0.0,94.33,60,Yes,1.452,Normal
104230,2026-01-03,Pune,Quality Review,Morning,160,31.5,4,22.9,94.0,60,Yes,2.5,High Error Rate
103103,2026-01-03,Pune,Validation,Morning,374,26.63,5,21.3,94.0,55,Yes,1.337,Normal
100540,2026-01-04,Bengaluru,Data Intake,Night,241,25.0,10,0.0,94.94,35,Yes,4.149,High Error Rate
103804,2026-01-04,Bengaluru,Data Intake,Morning,207,32.46,6,0.0,89.91,35,Yes,2.899,Low Quality Score
103858,2026-01-04,Bengaluru,Data Intake,Night,305,21.92,6,39.1,96.02,35,Yes,1.967,Normal
104505,2026-01-04,Bengaluru,Data Intake,Night,378,22.37,3,0.9,90.65,35,Yes,0.794,Normal
100233,2026-01-04,Bengaluru,Enrichment,Morning,542,56.49,2,8.4,93.07,65,Yes,0.369,Normal
104117,2026-01-04,Bengaluru,Enrichment,Evening,366,85.8,2,0.0,93.28,65,No,0.546,SLA Breach
105745,2026-01-04,Bengaluru,Publishing,Morning,194,41.82,7,0.0,96.89,30,No,3.608,High Error Rate
105746,2026-01-04,Bengaluru,Quality Review,Night,646,144.86,3,0.0,84.41,60,No,0.464,Low Quality Score
100300,2026-01-04,Chennai,Data Intake,Night,85,37.94,2,3.0,96.73,35,No,2.353,High Error Rate
101529,2026-01-04,Chennai,Data Intake,Morning,348,30.05,4,21.0,88.5,35,Yes,1.149,Low Quality Score
105897,2026-01-04,Chennai,Data Intake,Evening,468,25.25,5,5.2,93.58,35,Yes,1.068,Normal
101594,2026-01-04,Chennai,Enrichment,Morning,555,25.36,6,6.4,86.47,65,Yes,1.081,Low Quality Score
102090,2026-01-04,Chennai,Enrichment,Evening,564,27.91,3,22.8,92.27,65,Yes,0.532,Normal
103898,2026-01-04,Chennai,Enrichment,Night,420,40.13,1,0.0,90.75,65,Yes,0.238,Normal
105035,2026-01-04,Chennai,Enrichment,Evening,354,29.82,3,11.0,90.45,65,Yes,0.847,Normal
100415,2026-01-04,Chennai,Publishing,Morning,477,16.08,5,18.4,95.01,30,Yes,1.048,Normal
101167,2026-01-04,Chennai,Publishing,Evening,300,51.38,4,0.6,98.95,30,No,1.333,SLA Breach
104062,2026-01-04,Chennai,Publishing,Night,631,35.12,6,1.6,100.0,30,No,0.951,SLA Breach
104563,2026-01-04,Chennai,Quality Review,Morning,525,47.12,8,17.8,91.14,60,Yes,1.524,Normal
101366,2026-01-04,Chennai,Validation,Morning,357,45.66,5,0.9,89.05,55,Yes,1.401,Low Quality Score
102171,2026-01-04,Hyderabad,Data Intake,Evening,269,21.38,3,0.0,100.0,35,Yes,1.115,Normal
103505,2026-01-04,Hyderabad,Enrichment,Evening,527,75.05,5,4.1,95.47,65,No,0.949,SLA Breach
103788,2026-01-04,Hyderabad,Quality Review,Morning,440,55.34,10,28.7,90.56,60,Yes,2.273,High Error Rate
104527,2026-01-04,Hyderabad,Quality Review,Morning,408,63.79,8,0.0,91.87,60,No,1.961,SLA Breach
105411,2026-01-04,Hyderabad,Validation,Morning,360,69.82,3,23.2,97.53,55,No,0.833,SLA Breach
102975,2026-01-04,Pune,Data Intake,Night,532,40.34,5,0.0,95.7,35,No,0.94,SLA Breach
101624,2026-01-04,Pune,Enrichment,Evening,111,33.24,7,0.0,95.92,65,Yes,6.306,High Error Rate
101652,2026-01-04,Pune,Enrichment,Night,190,26.99,9,14.4,97.53,65,Yes,4.737,High Error Rate
105621,2026-01-04,Pune,Enrichment,Morning,111,59.11,5,20.3,93.01,65,Yes,4.505,High Error Rate
100478,2026-01-04,Pune,Quality Review,Night,318,64.67,6,0.0,90.96,60,No,1.887,SLA Breach
102712,2026-01-05,Bengaluru,Data Intake,Evening,259,25.87,4,9.9,91.31,35,Yes,1.544,Normal
104700,2026-01-05,Bengaluru,Data Intake,Evening,215,30.47,2,7.4,92.85,35,Yes,0.93,Normal
102329,2026-01-05,Bengaluru,Publishing,Morning,135,18.19,7,0.0,96.07,30,Yes,5.185,High Error Rate
104076,2026-01-05,Bengaluru,Publishing,Morning,443,24.13,4,31.1,95.4,30,Yes,0.903,Normal
104913,2026-01-05,Bengaluru,Publishing,Morning,557,21.17,7,10.4,96.15,30,Yes,1.257,Normal
102469,2026-01-05,Bengaluru,Quality Review,Night,240,86.17,1,14.7,96.4,60,No,0.417,SLA Breach
103309,2026-01-05,Bengaluru,Quality Review,Morning,404,66.37,7,20.8,91.96,60,No,1.733,SLA Breach
105162,2026-01-05,Bengaluru,Quality Review,Morning,87,20.54,5,10.0,95.27,60,Yes,5.747,High Error Rate
102223,2026-01-05,Chennai,Data Intake,Morning,297,39.18,3,15.4,88.26,35,No,1.01,Low Quality Score
101399,2026-01-05,Chennai,Publishing,Evening,572,51.05,6,14.1,98.19,30,No,1.049,SLA Breach
102138,2026-01-05,Chennai,Publishing,Morning,168,26.45,1,2.0,93.03,30,Yes,0.595,Normal
104260,2026-01-05,Chennai,Publishing,Morning,244,23.87,1,2.4,99.37,30,Yes,0.41,Normal
100369,2026-01-05,Chennai,Quality Review,Morning,185,39.8,5,5.4,91.16,60,Yes,2.703,High Error Rate
100454,2026-01-05,Chennai,Quality Review,Morning,372,71.4,6,0.0,94.89,60,No,1.613,SLA Breach
101744,2026-01-05,Chennai,Quality Review,Evening,612,29.41,2,4.0,88.99,60,Yes,0.327,Low Quality Score
102261,2026-01-05,Hyderabad,Enrichment,Evening,356,57.46,10,22.2,97.52,65,Yes,2.809,High Error Rate
102636,2026-01-05,Hyderabad,Enrichment,Evening,470,53.19,2,11.0,92.67,65,Yes,0.426,Normal
103997,2026-01-05,Hyderabad,Publishing,Evening,379,46.52,4,7.4,87.71,30,No,1.055,Low Quality Score
100272,2026-01-05,Hyderabad,Quality Review,Evening,378,53.14,5,0.0,100.0,60,Yes,1.323,Normal
100821,2026-01-05,Hyderabad,Quality Review,Evening,637,58.18,3,11.1,93.16,60,Yes,0.471,Normal
100170,2026-01-05,Hyderabad,Validation,Evening,452,50.06,5,12.0,89.88,55,Yes,1.106,Low Quality Score
103947,2026-01-05,Hyderabad,Validation,Evening,318,33.92,3,33.1,98.52,55,Yes,0.943,Normal
104645,2026-01-05,Hyderabad,Validation,Morning,103,38.97,5,17.4,97.64,55,Yes,4.854,High Error Rate
105114,2026-01-05,Hyderabad,Validation,Morning,462,41.01,6,12.5,93.18,55,Yes,1.299,Normal
105529,2026-01-05,Hyderabad,Validation,Morning,529,35.99,5,4.1,96.66,55,Yes,0.945,Normal
105774,2026-01-05,Hyderabad,Validation,Night,428,73.24,13,0.0,89.71,55,No,3.037,Low Quality Score
103119,2026-01-05,Pune,Data Intake,Morning,188,16.9,4,0.0,96.89,35,Yes,2.128,High Error Rate
105405,2026-01-05,Pune,Publishing,Morning,194,16.7,5,6.0,93.21,30,Yes,2.577,High Error Rate
100429,2026-01-05,Pune,Quality Review,Morning,210,41.96,8,12.4,96.46,60,Yes,3.81,High Error Rate
101180,2026-01-05,Pune,Quality Review,Night,387,44.53,4,15.5,88.46,60,Yes,1.034,Low Quality Score
103442,2026-01-05,Pune,Quality Review,Morning,297,60.29,5,7.1,100.0,60,No,1.684,SLA Breach
103486,2026-01-05,Pune,Quality Review,Morning,605,56.06,3,31.9,89.58,60,Yes,0.496,Low Quality Score
103805,2026-01-05,Pune,Quality Review,Evening,574,70.26,7,0.0,98.12,60,No,1.22,SLA Breach
101783,2026-01-05,Pune,Validation,Morning,543,102.21,5,18.4,94.63,55,No,0.921,SLA Breach
102410,2026-01-05,Pune,Validation,Evening,149,51.88,11,0.0,92.47,55,Yes,7.383,High Error Rate
104535,2026-01-06,Bengaluru,Enrichment,Night,224,57.16,4,20.6,98.12,65,Yes,1.786,Normal
102951,2026-01-06,Bengaluru,Publishing,Night,641,19.11,3,18.8,99.28,30,Yes,0.468,Normal
101869,2026-01-06,Bengaluru,Quality Review,Morning,141,66.94,6,0.0,93.13,60,No,4.255,High Error Rate
105396,2026-01-06,Bengaluru,Validation,Night,500,29.01,3,24.5,93.05,55,Yes,0.6,Normal
104160,2026-01-06,Chennai,Data Intake,Evening,199,17.12,0,21.1,94.74,35,Yes,0.0,Normal
100385,2026-01-06,Chennai,Enrichment,Morning,306,45.9,12,0.0,97.69,65,Yes,3.922,High Error Rate
102263,2026-01-06,Chennai,Enrichment,Morning,397,23.26,3,24.2,91.08,65,Yes,0.756,Normal
102499,2026-01-06,Chennai,Enrichment,Morning,351,59.32,7,21.4,93.3,65,Yes,1.994,Normal
105500,2026-01-06,Chennai,Publishing,Morning,473,24.64,4,12.5,99.85,30,Yes,0.846,Normal
100138,2026-01-06,Chennai,Quality Review,Morning,187,74.6,5,0.0,94.68,60,No,2.674,High Error Rate
104531,2026-01-06,Chennai,Quality Review,Morning,564,73.06,7,11.9,91.98,60,No,1.241,SLA Breach
104715,2026-01-06,Chennai,Quality Review,Morning,629,45.43,7,7.8,97.34,60,Yes,1.113,Normal
101536,2026-01-06,Chennai,Validation,Morning,262,33.33,9,7.0,87.08,55,Yes,3.435,Low Quality Score
103537,2026-01-06,Chennai,Validation,Morning,364,84.78,3,0.0,97.81,55,No,0.824,SLA Breach
101300,2026-01-06,Hyderabad,Publishing,Morning,577,17.29,5,13.2,91.89,30,Yes,0.867,Normal
102559,2026-01-06,Hyderabad,Quality Review,Morning,197,72.44,4,15.3,99.6,60,No,2.03,High Error Rate
104036,2026-01-06,Hyderabad,Quality Review,Evening,423,30.42,2,0.0,97.8,60,Yes,0.473,Normal
103458,2026-01-06,Hyderabad,Validation,Morning,219,43.83,9,18.2,93.41,55,Yes,4.11,High Error Rate
105120,2026-01-06,Hyderabad,Validation,Morning,261,71.29,5,1.9,94.93,55,No,1.916,SLA Breach
104244,2026-01-06,Pune,Data Intake,Evening,282,33.87,4,10.4,97.13,35,Yes,1.418,Normal
101590,2026-01-06,Pune,Enrichment,Evening,322,23.53,7,0.0,95.8,65,Yes,2.174,High Error Rate
101944,2026-01-06,Pune,Enrichment,Night,157,37.4,6,1.9,95.16,65,Yes,3.822,High Error Rate
105630,2026-01-06,Pune,Enrichment,Night,373,52.57,7,0.0,91.96,65,Yes,1.877,Normal
101493,2026-01-06,Pune,Publishing,Evening,370,33.83,6,14.4,96.1,30,No,1.622,SLA Breach
104642,2026-01-06,Pune,Quality Review,Evening,367,41.15,9,3.0,100.0,60,Yes,2.452,High Error Rate
100787,2026-01-06,Pune,Validation,Night,349,42.45,7,24.7,88.84,55,Yes,2.006,Low Quality Score
103682,2026-01-06,Pune,Validation,Evening,216,42.09,6,9.1,94.78,55,Yes,2.778,High Error Rate
105210,2026-01-06,Pune,Validation,Evening,420,62.54,1,31.6,87.93,55,No,0.238,Low Quality Score
105429,2026-01-06,Pune,Validation,Evening,574,68.74,4,16.6,96.25,55,No,0.697,SLA Breach
100830,2026-01-06,Unknown,Enrichment,Morning,591,33.4,11,13.4,100.0,65,Yes,1.861,Normal
101446,2026-01-07,Bengaluru,Data Intake,Evening,242,23.78,5,1.3,94.95,35,Yes,2.066,High Error Rate
105467,2026-01-07,Bengaluru,Data Intake,Evening,119,27.96,8,3.1,96.19,35,Yes,6.723,High Error Rate
101266,2026-01-07,Bengaluru,Enrichment,Morning,525,99.01,8,10.3,98.32,65,No,1.524,SLA Breach
102866,2026-01-07,Bengaluru,Enrichment,Evening,590,28.9,4,12.0,100.0,65,Yes,0.678,Normal
103755,2026-01-07,Bengaluru,Publishing,Morning,430,37.82,4,2.5,98.72,30,No,0.93,SLA Breach
104304,2026-01-07,Bengaluru,Publishing,Night,619,37.66,7,0.0,95.38,30,No,1.131,SLA Breach
102630,2026-01-07,Bengaluru,Quality Review,Night,344,38.63,7,7.2,93.48,60,Yes,2.035,High Error Rate
103240,2026-01-07,Bengaluru,Quality Review,Morning,422,79.92,6,38.2,96.2,60,No,1.422,SLA Breach
100117,2026-01-07,Chennai,Data Intake,Morning,378,23.02,8,23.5,88.67,35,Yes,2.116,Low Quality Score
100970,2026-01-07,Chennai,Enrichment,Evening,419,86.98,6,28.1,88.84,65,No,1.432,Low Quality Score
103545,2026-01-07,Chennai,Enrichment,Night,631,82.13,6,33.0,98.58,65,No,0.951,SLA Breach
105503,2026-01-07,Chennai,Enrichment,Morning,147,39.26,4,15.5,94.46,65,Yes,2.721,High Error Rate
105069,2026-01-07,Chennai,Quality Review,Evening,427,28.92,4,1.8,97.47,60,Yes,0.937,Normal
104969,2026-01-07,Chennai,Validation,Evening,530,40.76,2,0.0,98.96,55,Yes,0.377,Normal
104945,2026-01-07,Hyderabad,Data Intake,Morning,461,25.18,7,2.8,100.0,35,Yes,1.518,Normal
104275,2026-01-07,Hyderabad,Enrichment,Morning,92,60.9,7,14.6,96.41,65,Yes,7.609,High Error Rate
103320,2026-01-07,Hyderabad,Publishing,Morning,538,51.01,3,32.4,94.63,30,No,0.558,SLA Breach
100844,2026-01-07,Hyderabad,Quality Review,Morning,414,70.84,2,4.8,93.64,60,No,0.483,SLA Breach
101683,2026-01-07,Hyderabad,Quality Review,Morning,140,22.26,7,0.0,94.2,60,Yes,5.0,High Error Rate
101909,2026-01-07,Hyderabad,Quality Review,Evening,182,47.88,6,16.6,90.28,60,Yes,3.297,High Error Rate
104003,2026-01-07,Hyderabad,Quality Review,Night,393,48.85,4,7.5,89.76,60,Yes,1.018,Low Quality Score
104552,2026-01-07,Hyderabad,Quality Review,Morning,188,82.46,2,0.0,92.73,60,No,1.064,SLA Breach
105740,2026-01-07,Hyderabad,Quality Review,Morning,412,67.06,3,0.6,94.5,60,No,0.728,SLA Breach
100147,2026-01-07,Hyderabad,Validation,Night,299,59.13,2,36.3,95.52,55,No,0.669,SLA Breach
102322,2026-01-07,Hyderabad,Validation,Evening,162,42.57,4,0.2,95.01,55,Yes,2.469,High Error Rate
105838,2026-01-07,Hyderabad,Validation,Evening,230,36.74,5,2.2,90.33,55,Yes,2.174,High Error Rate
100328,2026-01-07,Pune,Data Intake,Morning,130,15.58,4,22.7,90.81,35,Yes,3.077,High Error Rate
102764,2026-01-07,Pune,Data Intake,Evening,225,20.5,3,0.0,89.58,35,Yes,1.333,Low Quality Score
104299,2026-01-07,Pune,Enrichment,Morning,484,67.17,5,3.8,93.17,65,No,1.033,SLA Breach
103633,2026-01-07,Pune,Publishing,Evening,185,36.8,3,16.7,96.47,30,No,1.622,SLA Breach
105002,2026-01-07,Pune,Quality Review,Night,288,50.24,4,4.4,90.83,60,Yes,1.389,Normal
100663,2026-01-07,Pune,Validation,Night,87,37.09,3,4.7,93.58,55,Yes,3.448,High Error Rate
100562,2026-01-08,Bengaluru,Data Intake,Night,401,19.79,4,10.6,99.18,35,Yes,0.998,Normal
100817,2026-01-08,Bengaluru,Data Intake,Evening,554,32.34,0,0.0,91.45,35,Yes,0.0,Normal
104320,2026-01-08,Bengaluru,Data Intake,Morning,236,55.06,7,15.2,93.97,35,No,2.966,High Error Rate
101871,2026-01-08,Bengaluru,Enrichment,Night,158,66.03,5,18.8,90.02,65,No,3.165,High Error Rate
102881,2026-01-08,Bengaluru,Enrichment,Evening,100,33.76,3,8.1,94.16,65,Yes,3.0,High Error Rate
100056,2026-01-08,Bengaluru,Publishing,Night,396,19.21,5,13.8,100.0,30,Yes,1.263,Normal
100250,2026-01-08,Bengaluru,Publishing,Morning,615,29.85,2,12.1,94.28,30,Yes,0.325,Normal
100870,2026-01-08,Bengaluru,Publishing,Night,303,41.3,4,6.1,96.62,30,No,1.32,SLA Breach
102728,2026-01-08,Bengaluru,Quality Review,Night,534,104.28,11,9.9,92.77,60,No,2.06,High Error Rate
104092,2026-01-08,Bengaluru,Quality Review,Evening,596,59.22,4,0.0,97.16,60,Yes,0.671,Normal
100811,2026-01-08,Bengaluru,Validation,Evening,307,19.83,8,0.0,95.31,55,Yes,2.606,High Error Rate
104194,2026-01-08,Bengaluru,Validation,Night,558,46.44,3,36.0,93.23,55,Yes,0.538,Normal
102371,2026-01-08,Chennai,Data Intake,Evening,195,71.77,9,21.7,88.22,35,No,4.615,Low Quality Score
102522,2026-01-08,Chennai,Data Intake,Evening,372,21.22,3,11.4,99.04,35,Yes,0.806,Normal
104189,2026-01-08,Chennai,Data Intake,Evening,363,44.2,2,30.2,99.47,35,No,0.551,SLA Breach
102038,2026-01-08,Chennai,Enrichment,Morning,532,34.1,5,0.0,88.79,65,Yes,0.94,Low Quality Score
102203,2026-01-08,Chennai,Quality Review,Evening,481,62.39,9,0.0,93.83,60,No,1.871,SLA Breach
101019,2026-01-08,Chennai,Validation,Evening,402,22.32,7,15.7,92.34,55,Yes,1.741,Normal
103880,2026-01-08,Chennai,Validation,Evening,105,52.58,6,18.0,96.86,55,Yes,5.714,High Error Rate
101099,2026-01-08,Hyderabad,Data Intake,Morning,408,39.09,5,0.0,98.88,35,No,1.225,SLA Breach
101240,2026-01-08,Hyderabad,Validation,Night,272,39.15,9,1.7,92.91,55,Yes,3.309,High Error Rate
104236,2026-01-08,Hyderabad,Validation,Morning,150,35.1,6,11.5,93.01,55,Yes,4.0,High Error Rate
102339,2026-01-08,Pune,Enrichment,Evening,495,21.2,4,4.9,92.85,65,Yes,0.808,Normal
102772,2026-01-08,Pune,Enrichment,Evening,104,49.74,6,0.0,89.41,65,Yes,5.769,Low Quality Score
104596,2026-01-08,Pune,Enrichment,Night,223,40.85,5,8.0,95.42,65,Yes,2.242,High Error Rate
105134,2026-01-08,Pune,Enrichment,Morning,81,62.79,2,39.8,95.67,65,Yes,2.469,High Error Rate
105628,2026-01-08,Pune,Enrichment,Night,287,50.74,9,42.0,99.48,65,Yes,3.136,High Error Rate
101452,2026-01-08,Pune,Publishing,Evening,86,36.15,5,0.0,91.5,30,No,5.814,High Error Rate
104458,2026-01-08,Pune,Quality Review,Night,604,42.25,2,0.0,86.29,60,Yes,0.331,Low Quality Score
104592,2026-01-08,Pune,Quality Review,Night,512,71.15,9,0.0,97.2,60,No,1.758,SLA Breach
104751,2026-01-08,Pune,Quality Review,Morning,250,23.46,4,13.6,88.15,60,Yes,1.6,Low Quality Score
100902,2026-01-08,Pune,Validation,Morning,154,38.43,6,3.1,89.83,55,Yes,3.896,Low Quality Score
101463,2026-01-09,Bengaluru,Data Intake,Morning,126,18.71,6,3.5,93.2,35,Yes,4.762,High Error Rate
